title,media_score,cast,short_review
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Avengers: Endgame is everything Marvel fans could want and more. It will be interesting to see how the MCU moves into the future after the events in the film, but woe be upon anyone who doubts their ability to adapt and succeed mightily."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",I found Avengers: Endgame wonderfully satisfying.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",There are [Marvel] movies that have been just as entertaining and a lot smarter than this one.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Feels like the end of the old cycle, the beginning of a reset. Old favourites gone, passing the mantle to others before they go. We even see a poster that reads, ""Where do we go, now that they're all gone?"""
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","The MCU is the ultimate long game, and Endgame feels like its glorious final lap."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Terms like masterpiece and game-changer are often thrown around a bit hastily, but not on this occasion."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","The fight scenes, while chaotic and intermittently exhilarating, are unable to avoid repetition; such is the nature of invincible entities dueling other invincible entities."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","""Avengers: Endgame"" was a wonderful surprise, filling almost every minute (all 181 of them) with excitement, drama, humor, and visually interesting and entertaining intrigue."
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",What The Russo Brothers did here is take high expectations and blow them out of the water with an emotionally thrilling finale. Get ready to be moved!
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo",The only thing that I know for sure has ended with the Marvel Cinematic Universe is my patience.
Avengers: Endgame,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo","Endgame is nothing short of a deserved send-off to the Infinity Saga, stamping an impressive mark on the cultural psyche. It has been one hell of a ride."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Episode 7: Globalism
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","Thanks to the superb visual effects, the film is truly a work of art, even if it tries to pack in just a little too much, making some characters more like afterthoughts rather than integral to the plot."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","I'm torn on the big finale. This is either the gutsiest ending of any modern blockbuster, or a prelude to an emotional cop-out."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","If you are remotely interested and if you remotely enjoyed the films of the MCU, this is a must watch. The Russo brothers have done it again."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",It succeeded in doing exactly what it was likely designed to do: it made me want to watch more Marvel movies.
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",An enormous action spectacle that never lets up.
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Another mammoth slice of superhero mayhem...
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","The dangling nature of the story will be frustrating to some. For fans, however, the movie should deliver in a big way."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","No genuine or long-lasting amusement or engagement is possible, as the reverential treatment of completely preposterous events and processes is what predominates."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","The Russo brothers deliver an epic, brutal, and oftentimes scattered showdown with the Mad Titan Thanos."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Avengers: Infinity War is full of entertaining little parts that somehow do not make a compelling whole. It is a phantasmagoria of stunning action sequences and beautifully poignant moments that nevertheless leaves one cold in the end.
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin","There's nothing new about Marvel's money-raking formula, but as each new chapter comes along, the serialized story becomes more and more unwieldy."
Avengers: Infinity War,85%,"Robert Downey Jr., Chris Hemsworth, Josh Brolin",Josh Brolin does a fantastic job at bringing Thanos to life via motion capture without drowning under the motion capture. He's a brutal and unapologetic villain and is given an emotional backstory with Gamora that drives this story.
